venue_name,venue_id
Arun Jaitley Stadium,0
"Arun Jaitley Stadium, Delhi",1
Barabati Stadium,2
"Barsapara Cricket Stadium, Guwahati",3
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4
Brabourne Stadium,5
"Brabourne Stadium, Mumbai",6
Buffalo Park,7
De Beers Diamond Oval,8
Dr DY Patil Sports Academy,9
"Dr DY Patil Sports Academy, Mumbai",10
"Dr DY Patil Sports Academy, Navi Mumbai",11
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,12
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",13
Dubai International Cricket Stadium,14
Eden Gardens,15
"Eden Gardens, Kolkata",16
Feroz Shah Kotla,17
Green Park,18
Himachal Pradesh Cricket Association Stadium,19
"Himachal Pradesh Cricket Association Stadium, Dharamsala",20
Holkar Cricket Stadium,21
JSCA International Stadium Complex,22
Kingsmead,23
"Kotambi Stadium, Vadodara",24
M Chinnaswamy Stadium,25
"M Chinnaswamy Stadium, Bengaluru",26
M.Chinnaswamy Stadium,27
MA Chidambaram Stadium,28
"MA Chidambaram Stadium, Chepauk",29
"MA Chidambaram Stadium, Chepauk, Chennai",30
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",31
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",32
Maharashtra Cricket Association Stadium,33
"Maharashtra Cricket Association Stadium, Pune",34
"Narendra Modi Stadium, Ahmedabad",35
Nehru Stadium,36
New Wanderers Stadium,37
Newlands,38
OUTsurance Oval,39
Punjab Cricket Association IS Bindra Stadium,40
"Punjab Cricket Association IS Bindra Stadium, Mohali",41
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",42
"Punjab Cricket Association Stadium, Mohali",43
Rajiv Gandhi International Stadium,44
"Rajiv Gandhi International Stadium, Uppal",45
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",46
"Sardar Patel Stadium, Motera",47
Saurashtra Cricket Association Stadium,48
Sawai Mansingh Stadium,49
"Sawai Mansingh Stadium, Jaipur",50
Shaheed Veer Narayan Singh International Stadium,51
Sharjah Cricket Stadium,52
Sheikh Zayed Stadium,53
St George's Park,54
Subrata Roy Sahara Stadium,55
SuperSport Park,56
"Vidarbha Cricket Association Stadium, Jamtha",57
Wankhede Stadium,58
"Wankhede Stadium, Mumbai",59
"Zayed Cricket Stadium, Abu Dhabi",60
